Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.2127		2.0310		0.0000		0.5750		0.00050000
2		1.9809		1.9816		0.0000		0.6566		0.00047744
3		1.9487		2.0366		0.0000		0.5586		0.00045477
4		1.9428		1.9763		0.0000		0.6299		0.00043196
5		1.9272		1.9939		0.0000		0.6053		0.00040903
6		1.9154		1.9503		0.0000		0.6490		0.00038594
7		1.9071		1.9772		0.0000		0.6155		0.00036271
8		1.9099		1.9625		0.0000		0.6228		0.00033931
9		1.8959		1.9386		0.0000		0.6606		0.00031572
10		1.8835		1.9511		0.0000		0.6570		0.00029194
11		1.8795		1.9366		0.0000		0.6544		0.00026794
12		1.8707		1.9400		0.0000		0.6660		0.00024370
13		1.8640		1.9425		0.0000		0.6480		0.00021919
14		1.8570		1.9270		0.0000		0.6685		0.00019437
15		1.8495		1.9419		0.0000		0.6801		0.00016919
16		1.8417		1.9334		0.0000		0.6709		0.00014359
17		1.8364		1.9325		0.0000		0.6843		0.00011746
18		1.8303		1.9343		0.0000		0.6817		0.00009067
19		1.8234		1.9320		0.0000		0.6812		0.00006295
20		1.8187		1.9270		0.0000		0.6859		0.00003373
